kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,status_pencemaran_air,tahun,id
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190006.0,WANAHERANG,32.01.02,GUNUNG PUTRI,32.01.02.2001,WANAHERANG,ADA,2019.0,1
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190010.0,BOJONG KULUR,32.01.02,GUNUNG PUTRI,32.01.02.2002,BOJONG KULUR,TIDAK ADA,2019.0,2
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190009.0,CIANGSANA,32.01.02,GUNUNG PUTRI,32.01.02.2003,CIANGSANA,TIDAK ADA,2019.0,3
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190002.0,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,32.01.02.2004,GUNUNG PUTRI,ADA,2019.0,4
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190004.0,BOJONG NANGKA,32.01.02,GUNUNG PUTRI,32.01.02.2005,BOJONG NANGKA,TIDAK ADA,2019.0,5
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190003.0,TLAJUNG UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2006,TLAJUNG UDIK,TIDAK ADA,2019.0,6
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190005.0,CICADAS,32.01.02,GUNUNG PUTRI,32.01.02.2007,CICADAS,TIDAK ADA,2019.0,7
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190007.0,CIKEAS UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2008,CIKEAS UDIK,TIDAK ADA,2019.0,8
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190008.0,NAGRAK,32.01.02,GUNUNG PUTRI,32.01.02.2009,NAGRAK,TIDAK ADA,2019.0,9
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201190.0,GUNUNG PUTRI,3201190001.0,KARANGGAN,32.01.02,GUNUNG PUTRI,32.01.02.2010,KARANGGAN,TIDAK ADA,2019.0,10
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200014.0,PUSPASARI,32.01.03,CITEUREUP,32.01.03.2001,PUSPASARI,TIDAK ADA,2019.0,11
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200012.0,CITEUREUP,32.01.03,CITEUREUP,32.01.03.2002,CITEUREUP,TIDAK ADA,2019.0,12
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200006.0,LEUWINUTUG,32.01.03,CITEUREUP,32.01.03.2003,LEUWINUTUG,TIDAK ADA,2019.0,13
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200003.0,TAJUR,32.01.03,CITEUREUP,32.01.03.2004,TAJUR,TIDAK ADA,2019.0,14
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200007.0,SANJA,32.01.03,CITEUREUP,32.01.03.2005,SANJA,TIDAK ADA,2019.0,15
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200009.0,KARANG ASEM TIMUR,32.01.03,CITEUREUP,32.01.03.2008,KARANG ASEM TIMUR,TIDAK ADA,2019.0,16
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200010.0,TARIKOLOT,32.01.03,CITEUREUP,32.01.03.2009,TARIKOLOT,TIDAK ADA,2019.0,17
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200011.0,GUNUNGSARI,32.01.03,CITEUREUP,32.01.03.2010,GUNUNGSARI,TIDAK ADA,2019.0,18
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200001.0,TANGKIL,32.01.03,CITEUREUP,32.01.03.2011,TANGKIL,TIDAK ADA,2019.0,19
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200005.0,SUKAHATI,32.01.03,CITEUREUP,32.01.03.2012,SUKAHATI,TIDAK ADA,2019.0,20
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200002.0,HAMBALANG,32.01.03,CITEUREUP,32.01.03.2013,HAMBALANG,TIDAK ADA,2019.0,21
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201200.0,CITEUREUP,3201200004.0,PASIRMUKTI,32.01.03,CITEUREUP,32.01.03.2014,PASIRMUKTI,TIDAK ADA,2019.0,22
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130002.0,GUNUNGGEULIS,32.01.04,SUKARAJA,32.01.04.2001,GUNUNGGEULIS,TIDAK ADA,2019.0,23
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130012.0,CILEBUT TIMUR,32.01.04,SUKARAJA,32.01.04.2002,CILEBUT TIMUR,TIDAK ADA,2019.0,24
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130013.0,CILEBUT BARAT,32.01.04,SUKARAJA,32.01.04.2003,CILEBUT BARAT,ADA,2019.0,25
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130001.0,CIBANON,32.01.04,SUKARAJA,32.01.04.2004,CIBANON,TIDAK ADA,2019.0,26
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130003.0,NAGRAK,32.01.04,SUKARAJA,32.01.04.2005,NAGRAK,TIDAK ADA,2019.0,27
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130004.0,SUKATANI,32.01.04,SUKARAJA,32.01.04.2006,SUKATANI,TIDAK ADA,2019.0,28
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130005.0,SUKARAJA,32.01.04,SUKARAJA,32.01.04.2007,SUKARAJA,TIDAK ADA,2019.0,29
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130006.0,CIKEAS,32.01.04,SUKARAJA,32.01.04.2008,CIKEAS,TIDAK ADA,2019.0,30
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130011.0,PASIR JAMBU,32.01.04,SUKARAJA,32.01.04.2009,PASIR JAMBU,TIDAK ADA,2019.0,31
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130010.0,CIMANDALA,32.01.04,SUKARAJA,32.01.04.2010,CIMANDALA,ADA,2019.0,32
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130009.0,CIJUJUNG,32.01.04,SUKARAJA,32.01.04.2011,CIJUJUNG,ADA,2019.0,33
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130007.0,CADASNGAMPAR,32.01.04,SUKARAJA,32.01.04.2012,CADASNGAMPAR,TIDAK ADA,2019.0,34
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201130.0,SUKARAJA,3201130008.0,PASIRLAJA,32.01.04,SUKARAJA,32.01.04.2013,PASIRLAJA,ADA,2019.0,35
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140001.0,CIJAYANTI,32.01.05,BABAKAN MADANG,32.01.05.2001,CIJAYANTI,TIDAK ADA,2019.0,36
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140004.0,SUMURBATU,32.01.05,BABAKAN MADANG,32.01.05.2002,SUMURBATU,TIDAK ADA,2019.0,37
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140009.0,SENTUL,32.01.05,BABAKAN MADANG,32.01.05.2003,SENTUL,TIDAK ADA,2019.0,38
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140003.0,KARANGTENGAH,32.01.05,BABAKAN MADANG,32.01.05.2004,KARANGTENGAH,TIDAK ADA,2019.0,39
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140007.0,CIPAMBUAN,32.01.05,BABAKAN MADANG,32.01.05.2005,CIPAMBUAN,TIDAK ADA,2019.0,40
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140008.0,KADUMANGGU,32.01.05,BABAKAN MADANG,32.01.05.2006,KADUMANGGU,TIDAK ADA,2019.0,41
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140006.0,CITARINGGUL,32.01.05,BABAKAN MADANG,32.01.05.2007,CITARINGGUL,TIDAK ADA,2019.0,42
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140005.0,BABAKAN MADANG,32.01.05,BABAKAN MADANG,32.01.05.2008,BABAKAN MADANG,TIDAK ADA,2019.0,43
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201140.0,BABAKAN MADANG,3201140002.0,BOJONG KONENG,32.01.05,BABAKAN MADANG,32.01.05.2009,BOJONG KONENG,TIDAK ADA,2019.0,44
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170011.0,SUKAMAJU,32.01.06,JONGGOL,32.01.06.2001,SUKAMAJU,TIDAK ADA,2019.0,45
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170009.0,SIRNAGALIH,32.01.06,JONGGOL,32.01.06.2002,SIRNAGALIH,TIDAK ADA,2019.0,46
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170005.0,SINGAJAYA,32.01.06,JONGGOL,32.01.06.2003,SINGAJAYA,TIDAK ADA,2019.0,47
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170006.0,SUKASIRNA,32.01.06,JONGGOL,32.01.06.2004,SUKASIRNA,TIDAK ADA,2019.0,48
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170002.0,SUKANEGARA,32.01.06,JONGGOL,32.01.06.2005,SUKANEGARA,TIDAK ADA,2019.0,49
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170012.0,SUKAMANAH,32.01.06,JONGGOL,32.01.06.2006,SUKAMANAH,TIDAK ADA,2019.0,50
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170013.0,WENINGGALIH,32.01.06,JONGGOL,32.01.06.2007,WENINGGALIH,TIDAK ADA,2019.0,51
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170003.0,CIBODAS,32.01.06,JONGGOL,32.01.06.2008,CIBODAS,TIDAK ADA,2019.0,52
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170010.0,JONGGOL,32.01.06,JONGGOL,32.01.06.2009,JONGGOL,TIDAK ADA,2019.0,53
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170008.0,BENDUNGAN,32.01.06,JONGGOL,32.01.06.2010,BENDUNGAN,TIDAK ADA,2019.0,54
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170004.0,SINGASARI,32.01.06,JONGGOL,32.01.06.2011,SINGASARI,TIDAK ADA,2019.0,55
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170007.0,BALEKAMBANG,32.01.06,JONGGOL,32.01.06.2012,BALEKAMBANG,TIDAK ADA,2019.0,56
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170001.0,SUKAJAYA,32.01.06,JONGGOL,32.01.06.2013,SUKAJAYA,TIDAK ADA,2019.0,57
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201170.0,JONGGOL,3201170014.0,SUKAGALIH,32.01.06,JONGGOL,32.01.06.2014,SUKAGALIH,TIDAK ADA,2019.0,58
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180020.0,PASIRANGIN,32.01.07,CILEUNGSI,32.01.07.2001,PASIRANGIN,TIDAK ADA,2019.0,59
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180016.0,MEKARSARI,32.01.07,CILEUNGSI,32.01.07.2002,MEKARSARI,ADA,2019.0,60
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180011.0,MAMPIR,32.01.07,CILEUNGSI,32.01.07.2003,MAMPIR,ADA,2019.0,61
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180010.0,DAYEUH,32.01.07,CILEUNGSI,32.01.07.2004,DAYEUH,TIDAK ADA,2019.0,62
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180015.0,GANDOANG,32.01.07,CILEUNGSI,32.01.07.2005,GANDOANG,ADA,2019.0,63
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180014.0,JATISARI,32.01.07,CILEUNGSI,32.01.07.2006,JATISARI,ADA,2019.0,64
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180017.0,CILEUNGSI KIDUL,32.01.07,CILEUNGSI,32.01.07.2007,CILEUNGSI KIDUL,ADA,2019.0,65
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180013.0,CIPEUCANG,32.01.07,CILEUNGSI,32.01.07.2008,CIPEUCANG,ADA,2019.0,66
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180012.0,SITUSARI,32.01.07,CILEUNGSI,32.01.07.2009,SITUSARI,ADA,2019.0,67
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180021.0,CIPENJO,32.01.07,CILEUNGSI,32.01.07.2010,CIPENJO,TIDAK ADA,2019.0,68
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180019.0,LIMUSNUNGGAL,32.01.07,CILEUNGSI,32.01.07.2011,LIMUSNUNGGAL,TIDAK ADA,2019.0,69
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201180.0,CILEUNGSI,3201180018.0,CILEUNGSI,32.01.07,CILEUNGSI,32.01.07.2012,CILEUNGSI,TIDAK ADA,2019.0,70
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160011.0,KARYAMEKAR,32.01.08,CARIU,32.01.08.2001,KARYAMEKAR,TIDAK ADA,2019.0,71
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160020.0,BABAKANRADEN,32.01.08,CARIU,32.01.08.2002,BABAKANRADEN,TIDAK ADA,2019.0,72
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160013.0,CIKUTAMAHI,32.01.08,CARIU,32.01.08.2003,CIKUTAMAHI,TIDAK ADA,2019.0,73
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160018.0,KUTAMEKAR,32.01.08,CARIU,32.01.08.2004,KUTAMEKAR,TIDAK ADA,2019.0,74
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160017.0,CARIU,32.01.08,CARIU,32.01.08.2005,CARIU,TIDAK ADA,2019.0,75
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160015.0,MEKARWANGI,32.01.08,CARIU,32.01.08.2006,MEKARWANGI,TIDAK ADA,2019.0,76
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160012.0,BANTARKUNING,32.01.08,CARIU,32.01.08.2007,BANTARKUNING,TIDAK ADA,2019.0,77
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160019.0,SUKAJADI,32.01.08,CARIU,32.01.08.2008,SUKAJADI,TIDAK ADA,2019.0,78
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160016.0,TEGALPANJANG,32.01.08,CARIU,32.01.08.2009,TEGALPANJANG,ADA,2019.0,79
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201160.0,CARIU,3201160014.0,CIBATUTIGA,32.01.08,CARIU,32.01.08.2010,CIBATUTIGA,TIDAK ADA,2019.0,80
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150003.0,WARGAJAYA,32.01.09,SUKAMAKMUR,32.01.09.2001,WARGAJAYA,TIDAK ADA,2019.0,81
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150008.0,PABUARAN,32.01.09,SUKAMAKMUR,32.01.09.2002,PABUARAN,TIDAK ADA,2019.0,82
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150009.0,SUKADAMAI,32.01.09,SUKAMAKMUR,32.01.09.2003,SUKADAMAI,TIDAK ADA,2019.0,83
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150001.0,SUKAWANGI,32.01.09,SUKAMAKMUR,32.01.09.2004,SUKAWANGI,TIDAK ADA,2019.0,84
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150007.0,CIBADAK,32.01.09,SUKAMAKMUR,32.01.09.2005,CIBADAK,TIDAK ADA,2019.0,85
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150010.0,SUKARESMI,32.01.09,SUKAMAKMUR,32.01.09.2006,SUKARESMI,TIDAK ADA,2019.0,86
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150005.0,SUKAMULYA,32.01.09,SUKAMAKMUR,32.01.09.2007,SUKAMULYA,TIDAK ADA,2019.0,87
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150002.0,SUKAHARJA,32.01.09,SUKAMAKMUR,32.01.09.2008,SUKAHARJA,TIDAK ADA,2019.0,88
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150004.0,SIRNAJAYA,32.01.09,SUKAMAKMUR,32.01.09.2009,SIRNAJAYA,TIDAK ADA,2019.0,89
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201150.0,SUKAMAKMUR,3201150006.0,SUKAMAKMUR,32.01.09,SUKAMAKMUR,32.01.09.2010,SUKAMAKMUR,TIDAK ADA,2019.0,90
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240012.0,PARUNG,32.01.10,PARUNG,32.01.10.2001,PARUNG,TIDAK ADA,2019.0,91
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240009.0,IWUL,32.01.10,PARUNG,32.01.10.2002,IWUL,TIDAK ADA,2019.0,92
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240015.0,BOJONGSEMPU,32.01.10,PARUNG,32.01.10.2003,BOJONGSEMPU,TIDAK ADA,2019.0,93
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240013.0,WARU,32.01.10,PARUNG,32.01.10.2004,WARU,TIDAK ADA,2019.0,94
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240017.0,COGREG,32.01.10,PARUNG,32.01.10.2005,COGREG,TIDAK ADA,2019.0,95
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240011.0,PAMEGARSARI,32.01.10,PARUNG,32.01.10.2006,PAMEGARSARI,TIDAK ADA,2019.0,96
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240014.0,WARUJAYA,32.01.10,PARUNG,32.01.10.2007,WARUJAYA,TIDAK ADA,2019.0,97
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240016.0,BOJONGINDAH,32.01.10,PARUNG,32.01.10.2008,BOJONGINDAH,TIDAK ADA,2019.0,98
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201240.0,PARUNG,3201240010.0,JABONMEKAR,32.01.10,PARUNG,32.01.10.2009,JABONMEKAR,TIDAK ADA,2019.0,99
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250004.0,CIDOKOM,32.01.11,GUNUNG SINDUR,32.01.11.2001,CIDOKOM,TIDAK ADA,2019.0,100
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250005.0,PADURENAN,32.01.11,GUNUNG SINDUR,32.01.11.2002,PADURENAN,TIDAK ADA,2019.0,101
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250008.0,PENGASINAN,32.01.11,GUNUNG SINDUR,32.01.11.2003,PENGASINAN,ADA,2019.0,102
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250006.0,CURUG,32.01.11,GUNUNG SINDUR,32.01.11.2004,CURUG,TIDAK ADA,2019.0,103
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250009.0,GUNUNGSINDUR,32.01.11,GUNUNG SINDUR,32.01.11.2005,GUNUNGSINDUR,TIDAK ADA,2019.0,104
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250001.0,JAMPANG,32.01.11,GUNUNG SINDUR,32.01.11.2006,JAMPANG,TIDAK ADA,2019.0,105
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250002.0,CIBADUNG,32.01.11,GUNUNG SINDUR,32.01.11.2007,CIBADUNG,TIDAK ADA,2019.0,106
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250003.0,CIBINONG,32.01.11,GUNUNG SINDUR,32.01.11.2008,CIBINONG,TIDAK ADA,2019.0,107
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250007.0,RAWAKALONG,32.01.11,GUNUNG SINDUR,32.01.11.2009,RAWAKALONG,TIDAK ADA,2019.0,108
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201250.0,GUNUNG SINDUR,3201250010.0,PABUARAN,32.01.11,GUNUNG SINDUR,32.01.11.2010,PABUARAN,TIDAK ADA,2019.0,109
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230009.0,BOJONG,32.01.12,KEMANG,32.01.12.2001,BOJONG,TIDAK ADA,2019.0,110
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230008.0,PARAKANJAYA,32.01.12,KEMANG,32.01.12.2002,PARAKANJAYA,TIDAK ADA,2019.0,111
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230010.0,KEMANG,32.01.12,KEMANG,32.01.12.2003,KEMANG,TIDAK ADA,2019.0,112
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230011.0,PABUARAN,32.01.12,KEMANG,32.01.12.2004,PABUARAN,ADA,2019.0,113
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230006.0,SEMPLAK BARAT,32.01.12,KEMANG,32.01.12.2005,SEMPLAK BARAT,TIDAK ADA,2019.0,114
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230015.0,JAMPANG,32.01.12,KEMANG,32.01.12.2007,JAMPANG,TIDAK ADA,2019.0,115
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230014.0,PONDOK UDIK,32.01.12,KEMANG,32.01.12.2008,PONDOK UDIK,TIDAK ADA,2019.0,116
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201230.0,KEMANG,3201230013.0,TEGAL,32.01.12,KEMANG,32.01.12.2009,TEGAL,ADA,2019.0,117
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220012.0,BOJONGBARU,32.01.13,BOJONG GEDE,32.01.13.2001,BOJONGBARU,TIDAK ADA,2019.0,118
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220002.0,CIMANGGIS,32.01.13,BOJONG GEDE,32.01.13.2002,CIMANGGIS,TIDAK ADA,2019.0,119
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220011.0,SUSUKAN,32.01.13,BOJONG GEDE,32.01.13.2003,SUSUKAN,TIDAK ADA,2019.0,120
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220015.0,RAGAJAYA,32.01.13,BOJONG GEDE,32.01.13.2004,RAGAJAYA,TIDAK ADA,2019.0,121
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220004.0,KEDUNGWARINGIN,32.01.13,BOJONG GEDE,32.01.13.2005,KEDUNGWARINGIN,TIDAK ADA,2019.0,122
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220003.0,WARINGINJAYA,32.01.13,BOJONG GEDE,32.01.13.2006,WARINGINJAYA,TIDAK ADA,2019.0,123
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220013.0,RAWAPANJANG,32.01.13,BOJONG GEDE,32.01.13.2008,RAWAPANJANG,TIDAK ADA,2019.0,124
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201220.0,BOJONG GEDE,3201220005.0,BOJONGGEDE,32.01.13,BOJONG GEDE,32.01.13.2009,BOJONGGEDE,TIDAK ADA,2019.0,125
32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,3201020.0,LEUWILIANG,3201020018.0,LEUWILIANG,32.01.14,LEUWILIANG,32.01.14.2001,LEUWILIANG,TIDAK ADA,2019.0,126
