id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,9115.48,RIBU RUPIAH,2012
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10332.65,RIBU RUPIAH,2012
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9671.03,RIBU RUPIAH,2012
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,10040.09,RIBU RUPIAH,2012
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6975.56,RIBU RUPIAH,2012
70,32,JAWA BARAT,3271,KOTA BOGOR,10439.59,RIBU RUPIAH,2012
71,32,JAWA BARAT,3272,KOTA SUKABUMI,9466.86,RIBU RUPIAH,2012
72,32,JAWA BARAT,3273,KOTA BANDUNG,14762.53,RIBU RUPIAH,2012
73,32,JAWA BARAT,3274,KOTA CIREBON,10369.39,RIBU RUPIAH,2012
74,32,JAWA BARAT,3275,KOTA BEKASI,14342.49,RIBU RUPIAH,2012
75,32,JAWA BARAT,3276,KOTA DEPOK,14079.53,RIBU RUPIAH,2012
76,32,JAWA BARAT,3277,KOTA CIMAHI,10473.53,RIBU RUPIAH,2012
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8013.43,RIBU RUPIAH,2012
78,32,JAWA BARAT,3279,KOTA BANJAR,9219.22,RIBU RUPIAH,2012
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,9040.52,RIBU RUPIAH,2013
80,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7800.04,RIBU RUPIAH,2013
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6694.05,RIBU RUPIAH,2013
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8977.74,RIBU RUPIAH,2013
83,32,JAWA BARAT,3205,KABUPATEN GARUT,6354.52,RIBU RUPIAH,2013
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6818.31,RIBU RUPIAH,2013
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8147.07,RIBU RUPIAH,2013
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8348.43,RIBU RUPIAH,2013
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,9002.26,RIBU RUPIAH,2013
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8193.77,RIBU RUPIAH,2013
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8828.26,RIBU RUPIAH,2013
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8644.13,RIBU RUPIAH,2013
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,9266.49,RIBU RUPIAH,2013
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10492.35,RIBU RUPIAH,2013
93,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9755.43,RIBU RUPIAH,2013
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,10207.28,RIBU RUPIAH,2013
95,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7112.25,RIBU RUPIAH,2013
96,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8199.66,RIBU RUPIAH,2013
97,32,JAWA BARAT,3271,KOTA BOGOR,10488.49,RIBU RUPIAH,2013
98,32,JAWA BARAT,3272,KOTA SUKABUMI,9608.86,RIBU RUPIAH,2013
99,32,JAWA BARAT,3273,KOTA BANDUNG,14957.1,RIBU RUPIAH,2013
100,32,JAWA BARAT,3274,KOTA CIREBON,10563.12,RIBU RUPIAH,2013
101,32,JAWA BARAT,3275,KOTA BEKASI,14475.41,RIBU RUPIAH,2013
102,32,JAWA BARAT,3276,KOTA DEPOK,14160.63,RIBU RUPIAH,2013
103,32,JAWA BARAT,3277,KOTA CIMAHI,10622.25,RIBU RUPIAH,2013
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8157.51,RIBU RUPIAH,2013
105,32,JAWA BARAT,3279,KOTA BANJAR,9401.63,RIBU RUPIAH,2013
106,32,JAWA BARAT,3201,KABUPATEN BOGOR,9065.93,RIBU RUPIAH,2014
107,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7824.25,RIBU RUPIAH,2014
