id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_miskin,satuan,tahun
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,252.1,RIBU JIWA,2004
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,121.7,RIBU JIWA,2004
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,RIBU JIWA,2004
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2004
73,32,JAWA BARAT,3271,KOTA BOGOR,67.7,RIBU JIWA,2004
74,32,JAWA BARAT,3272,KOTA SUKABUMI,16.8,RIBU JIWA,2004
75,32,JAWA BARAT,3273,KOTA BANDUNG,75.5,RIBU JIWA,2004
76,32,JAWA BARAT,3274,KOTA CIREBON,20.7,RIBU JIWA,2004
77,32,JAWA BARAT,3275,KOTA BEKASI,58.2,RIBU JIWA,2004
78,32,JAWA BARAT,3276,KOTA DEPOK,64.0,RIBU JIWA,2004
79,32,JAWA BARAT,3277,KOTA CIMAHI,43.5,RIBU JIWA,2004
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,48.6,RIBU JIWA,2004
81,32,JAWA BARAT,3279,KOTA BANJAR,16.9,RIBU JIWA,2004
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,476.7,RIBU JIWA,2005
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,364.9,RIBU JIWA,2005
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,369.4,RIBU JIWA,2005
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,550.1,RIBU JIWA,2005
86,32,JAWA BARAT,3205,KABUPATEN GARUT,386.1,RIBU JIWA,2005
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,296.2,RIBU JIWA,2005
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,228.6,RIBU JIWA,2005
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,196.7,RIBU JIWA,2005
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,386.1,RIBU JIWA,2005
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,227.4,RIBU JIWA,2005
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,137.5,RIBU JIWA,2005
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,312.1,RIBU JIWA,2005
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,232.7,RIBU JIWA,2005
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,111.1,RIBU JIWA,2005
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,285.6,RIBU JIWA,2005
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,137.5,RIBU JIWA,2005
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,RIBU JIWA,2005
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2005
100,32,JAWA BARAT,3271,KOTA BOGOR,79.3,RIBU JIWA,2005
101,32,JAWA BARAT,3272,KOTA SUKABUMI,21.9,RIBU JIWA,2005
102,32,JAWA BARAT,3273,KOTA BANDUNG,84.6,RIBU JIWA,2005
103,32,JAWA BARAT,3274,KOTA CIREBON,21.2,RIBU JIWA,2005
104,32,JAWA BARAT,3275,KOTA BEKASI,71.5,RIBU JIWA,2005
105,32,JAWA BARAT,3276,KOTA DEPOK,39.6,RIBU JIWA,2005
106,32,JAWA BARAT,3277,KOTA CIMAHI,50.8,RIBU JIWA,2005
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52.9,RIBU JIWA,2005
108,32,JAWA BARAT,3279,KOTA BANJAR,17.1,RIBU JIWA,2005
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,536.4,RIBU JIWA,2006
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,384.6,RIBU JIWA,2006
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,415.7,RIBU JIWA,2006
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,619.0,RIBU JIWA,2006
113,32,JAWA BARAT,3205,KABUPATEN GARUT,434.5,RIBU JIWA,2006
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,331.3,RIBU JIWA,2006
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,244.1,RIBU JIWA,2006
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,196.7,RIBU JIWA,2006
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,434.5,RIBU JIWA,2006
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,255.9,RIBU JIWA,2006
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,154.7,RIBU JIWA,2006
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,351.2,RIBU JIWA,2006
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,261.9,RIBU JIWA,2006
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,125.0,RIBU JIWA,2006
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,321.4,RIBU JIWA,2006
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,154.7,RIBU JIWA,2006
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,RIBU JIWA,2006
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2006
127,32,JAWA BARAT,3271,KOTA BOGOR,89.2,RIBU JIWA,2006
128,32,JAWA BARAT,3272,KOTA SUKABUMI,24.6,RIBU JIWA,2006
129,32,JAWA BARAT,3273,KOTA BANDUNG,95.2,RIBU JIWA,2006
130,32,JAWA BARAT,3274,KOTA CIREBON,27.4,RIBU JIWA,2006
131,32,JAWA BARAT,3275,KOTA BEKASI,104.4,RIBU JIWA,2006
132,32,JAWA BARAT,3276,KOTA DEPOK,35.3,RIBU JIWA,2006
133,32,JAWA BARAT,3277,KOTA CIMAHI,42.2,RIBU JIWA,2006
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,59.5,RIBU JIWA,2006
135,32,JAWA BARAT,3279,KOTA BANJAR,13.0,RIBU JIWA,2006
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,519.5,RIBU JIWA,2007
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,352.3,RIBU JIWA,2007
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,394.6,RIBU JIWA,2007
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,365.3,RIBU JIWA,2007
140,32,JAWA BARAT,3205,KABUPATEN GARUT,435.5,RIBU JIWA,2007
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,302.4,RIBU JIWA,2007
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,213.1,RIBU JIWA,2007
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,187.7,RIBU JIWA,2007
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,398.0,RIBU JIWA,2007
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,234.4,RIBU JIWA,2007
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,161.8,RIBU JIWA,2007
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,361.7,RIBU JIWA,2007
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,235.8,RIBU JIWA,2007
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,114.5,RIBU JIWA,2007
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,294.4,RIBU JIWA,2007
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,141.7,RIBU JIWA,2007
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,261.7,RIBU JIWA,2007
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2007
154,32,JAWA BARAT,3271,KOTA BOGOR,91.4,RIBU JIWA,2007
155,32,JAWA BARAT,3272,KOTA SUKABUMI,22.6,RIBU JIWA,2007
156,32,JAWA BARAT,3273,KOTA BANDUNG,87.2,RIBU JIWA,2007
157,32,JAWA BARAT,3274,KOTA CIREBON,28.3,RIBU JIWA,2007
158,32,JAWA BARAT,3275,KOTA BEKASI,106.9,RIBU JIWA,2007
159,32,JAWA BARAT,3276,KOTA DEPOK,35.9,RIBU JIWA,2007
160,32,JAWA BARAT,3277,KOTA CIMAHI,43.7,RIBU JIWA,2007
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,54.5,RIBU JIWA,2007
